total_seconds,speed,distance,point
0.0,0,0,1
0.069,1,0,0
0.144,1,0,0
0.203,1,0,0
0.272,2,0,0
0.351,2,0,0
0.418,3,0,0
0.476,3,0,0
0.546,4,0,0
0.615,4,0,0
0.684,5,0,0
0.752,5,1,0
0.821,5,1,0
0.89,6,1,0
0.96,6,1,0
1.029,6,1,0
1.097,7,1,0
1.177,7,1,0
1.245,8,1,0
1.313,8,2,0
1.382,8,2,0
1.441,9,2,0
1.509,9,2,0
1.567,9,2,0
1.635,10,2,1
1.705,10,3,0
1.774,10,3,0
1.843,10,3,0
1.912,11,3,0
1.981,11,3,0
2.05,11,4,0
2.122,12,4,0
2.191,12,4,0
2.26,12,4,0
2.328,13,5,0
2.398,13,5,0
2.468,13,5,0
2.558,14,5,0
2.629,14,6,0
2.698,14,6,0
2.769,15,6,0
2.838,15,7,0
2.909,16,7,0
2.99,16,7,0
3.058,16,8,0
3.126,17,8,0
3.195,17,8,0
3.266,18,9,0
3.337,18,9,0
3.406,19,9,0
3.527,19,10,0
3.606,20,10,1
3.723,21,11,0
3.792,21,11,0
3.871,22,12,0
3.94,22,12,0
3.998,23,13,0
4.068,23,13,0
4.137,23,14,0
4.217,24,14,0
4.297,25,15,0
4.367,25,15,0
4.436,25,16,0
4.504,26,16,0
4.585,26,17,0
4.657,26,17,0
4.726,27,18,0
4.797,27,18,0
4.868,28,19,0
4.938,28,19,0
5.007,28,20,0
5.076,29,20,0
5.155,29,21,0
5.225,29,22,0
5.293,30,22,1
5.362,30,23,0
5.443,30,23,0
5.51,31,24,0
5.575,31,25,0
5.643,31,25,0
5.711,32,26,0
5.78,32,26,0
5.848,32,27,0
5.917,33,28,0
5.986,33,28,0
6.054,33,29,0
6.125,34,30,0
6.194,34,30,0
6.262,34,31,0
6.331,35,32,0
6.41,35,32,0
6.48,35,33,0
6.549,36,34,0
6.618,36,34,0
6.697,37,35,0
6.766,37,36,0
6.834,37,37,0
6.904,38,37,0
6.972,38,38,0
7.04,38,39,0
7.111,39,40,0
7.181,39,40,0
7.248,40,41,1
7.317,40,42,0
7.385,40,43,0
7.453,41,43,0
7.522,41,44,0
7.591,41,45,0
7.681,42,46,0
7.75,42,47,0
7.818,42,48,0
7.929,43,49,0
7.999,43,50,0
8.07,43,51,0
8.14,44,51,0
8.209,44,52,0
8.279,44,53,0
8.349,44,54,0
8.424,45,55,0
8.495,45,56,0
8.566,45,57,0
8.637,45,58,0
8.707,46,58,0
8.786,46,60,0
8.855,46,60,0
8.937,46,61,0
9.007,47,62,0
9.077,47,63,0
9.146,47,64,0
9.215,48,65,0
9.284,48,66,0
9.363,48,67,0
9.444,48,68,0
9.514,49,69,0
9.585,49,70,0
9.655,49,71,0
9.724,49,72,0
9.792,49,73,0
9.861,50,74,1
9.929,50,75,0
10.019,50,76,0
10.089,51,77,0
10.17,51,78,0
10.238,51,79,0
10.308,52,80,0
10.378,52,81,0
10.446,52,82,0
10.515,52,83,0
10.584,53,84,0
10.654,53,85,0
10.725,53,86,0
10.784,54,87,0
10.853,54,88,0
10.921,54,89,0
10.991,55,90,0
11.059,55,91,0
11.124,55,92,0
11.189,55,93,0
11.267,56,94,0
11.335,56,96,0
11.402,56,97,0
11.471,56,98,0
11.538,57,99,0
11.608,57,100,0
11.677,57,101,0
11.746,57,102,0
11.825,58,103,0
11.895,58,104,0
11.964,58,105,0
12.033,59,107,0
12.101,59,108,0
12.169,59,109,0
12.237,60,110,1
12.306,60,111,0
12.375,60,112,0
12.454,60,114,0
12.524,61,115,0
12.592,61,116,0
12.661,61,117,0
12.73,61,118,0
12.798,62,119,0
12.868,62,121,0
12.937,62,122,0
13.005,62,123,0
13.074,63,124,0
13.143,63,125,0
13.244,63,127,0
13.325,64,129,0
13.393,64,130,0
13.462,64,131,0
13.531,65,132,0
13.6,65,134,0
13.658,65,135,0
13.737,65,136,0
13.808,66,137,0
13.877,66,139,0
13.947,66,140,0
14.016,66,141,0
14.083,67,142,0
14.152,67,144,0
14.222,67,145,0
14.314,67,147,0
14.395,68,148,0
14.455,68,149,0
14.524,68,151,0
14.615,69,152,0
14.685,69,154,0
14.754,69,155,0
14.826,69,156,0
14.885,70,158,0
14.944,70,159,0
15.013,70,160,1
15.082,70,161,0
15.151,71,163,0
15.222,71,164,0
15.29,71,166,0
15.36,71,167,0
15.429,72,168,0
15.498,72,170,0
15.568,72,171,0
15.626,72,172,0
15.695,72,174,0
15.762,73,175,0
15.829,73,176,0
15.9,73,178,0
15.97,73,179,0
16.041,74,181,0
16.112,74,182,0
16.193,74,184,0
16.264,74,185,0
16.333,74,187,0
16.4,75,188,0
16.467,75,189,0
16.536,75,191,0
16.604,75,192,0
16.673,75,194,0
16.742,76,195,0
16.8,76,196,0
16.865,76,198,0
16.93,76,199,0
16.999,76,201,0
17.068,77,202,0
17.136,77,204,0
17.203,77,205,0
17.272,77,206,0
17.34,78,208,0
17.433,78,210,0
17.501,78,211,0
17.568,78,213,0
17.636,79,214,0
17.706,79,216,0
17.774,79,217,0
17.843,79,219,0
17.913,79,220,0
17.981,79,222,0
18.05,80,223,1
18.12,80,225,0
18.189,80,227,0
